Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Jan 31, 2022",BR,Curitiba,Av. República Argentina,null,597,588,10
"Jan 31, 2022",BR,Piraquara,Av. Ribeira,null,679,453.08,103
"Jan 31, 2022",BR,Curitiba,BR-476 Est. da Ribeira,null,909,1001.061224489796,1207
"Jan 31, 2022",BR,Curitiba,R. Eduardo Sprada,null,710,492.05263157894734,888
"Jan 31, 2022",BR,Curitiba,R. Emanoel Voluz,null,718.780487804878,376.2439024390244,4222
"Jan 31, 2022",BR,Curitiba,R. Nova Esperança,null,624,1460,12
"Jan 31, 2022",BR,Curitiba,R. Anne Frank,ACCIDENT,719.2,595.8,1334
"Jan 31, 2022",BR,Curitiba,R. Emanoel Voluz,HAZARD,672.560975609756,298.5487804878049,4260
"Jan 31, 2022",BR,Curitiba,R. Eduardo Sprada,ACCIDENT,811.3333333333334,567.7777777777778,506
"Jan 31, 2022",BR,Curitiba,R. Pe. Camargo,null,578,486.8333333333333,64
"Jan 31, 2022",BR,Curitiba,Av. Linha Verde,null,1765.41975308642,725.9876543209876,16260
"Jan 31, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,null,1630.0526315789473,629.421052631579,2934
"Jan 31, 2022",BR,Curitiba,R. Anne Frank,HAZARD,584,533,182
"Jan 31, 2022",BR,Curitiba,R. Niccolo Paganini,null,540,932.4,44
"Jan 31, 2022",BR,Curitiba,Av. Ver. Toaldo Túlio,null,874,622,22
"Jan 31, 2022",BR,Curitiba,Al. Pres. Taunay,null,820.6,1008,176
"Jan 31, 2022",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,null,1746.6195652173913,1074.7173913043478,6528
"Jan 31, 2022",BR,Curitiba,R. Visc. do Rio Branco,null,581,881.6666666666666,106
"Jan 31, 2022",BR,null,PR-418 Contorno Norte,null,1415.25,400.25,66
"Jan 31, 2022",BR,Pinhais,R. Wanda dos Santos Mallmann,null,574,525.5,16
"Jan 31, 2022",BR,Curitiba,Av. Linha Verde,ACCIDENT,1794.6756756756756,817.4594594594595,8661
"Jan 31, 2022",BR,Curitiba,R. Barão do Rio Branco,null,577,1218.8,312
"Jan 31, 2022",BR,Curitiba,R. Anne Frank,null,740,309.8666666666667,1318
"Jan 31, 2022",BR,Curitiba,Av. Des. Hugo Simas,null,520,496,108
"Jan 31, 2022",BR,Curitiba,R. Dep. Heitor Alencar Furtado,null,996,907.7142857142856,156
"Jan 31, 2022",BR,Curitiba,Av. João Gualberto,null,613,978,20
"Jan 30, 2022",BR,Curitiba,R. Francisco Nunes,null,696,776,22
"Jan 30, 2022",BR,Piraquara,Av. Ribeira,null,679,441.3333333333333,16
"Jan 30, 2022",BR,Curitiba,R. Wiegando Olsen,null,1730,445,4
"Jan 30, 2022",BR,Curitiba,R. Lodovico Kaminski,null,515,479.4,36
"Jan 30, 2022",BR,São José dos Pinhais,null,null,582.1666666666666,496.5,104
"Jan 30, 2022",BR,Curitiba,V. Exclusiva de Ônibus,null,1895.8,404.2,28
"Jan 30, 2022",BR,Curitiba,R. Valdomiro Rodrigues,null,511,1756.25,24
"Jan 30, 2022",BR,Curitiba,R. Brasílio Cuman,null,1589.125,381.875,36
"Jan 30, 2022",BR,Pinhais,Av. Iraí,null,694,501.25,48
"Jan 29, 2022",BR,Curitiba,R. Pedro Demeterco,null,556,509.25,30
"Jan 29, 2022",BR,Curitiba,Av. Mal. Floriano Peixoto,null,1040.5555555555557,503.6666666666667,116
"Jan 29, 2022",BR,Curitiba,R. Alferes Poli,null,670,1150,16
"Jan 29, 2022",BR,Curitiba,BR-376 Contorno Sul,ACCIDENT,2713,3456,116
"Jan 29, 2022",BR,São José dos Pinhais,R. Gen. Catão Menna Barreto Monclaro,null,637,138,16
"Jan 29, 2022",BR,Curitiba,Av. Sete de Setembro,null,687.6,707.4,662
"Jan 29, 2022",BR,Curitiba,R. Antônio Escorsin,null,538,692,14
"Jan 29, 2022",BR,Curitiba,Av. Linha Verde,null,1360.571428571429,487.24675324675326,18050
"Jan 29, 2022",BR,Araucária,PR-421,null,521,482,16
"Jan 29, 2022",BR,Curitiba,R. Carlos de Laet,null,1000,291,16
"Jan 29, 2022",BR,Curitiba,R. Curupaitis,null,712.3333333333334,639,34
"Jan 29, 2022",BR,Curitiba,BR-116 Contorno Leste,ACCIDENT,2115,482.25,784
"Jan 29, 2022",BR,Curitiba,null,null,826.5135135135135,1389.7297297297298,3048
"Jan 29, 2022",BR,Curitiba,R. Dep. Heitor Alencar Furtado,null,738,966.3333333333334,44
"Jan 29, 2022",BR,Curitiba,R. Min. Gabriel Passos,null,518,500,10
"Jan 29, 2022",BR,Curitiba,Al. Princesa Izabel,null,843,907,62
"Jan 29, 2022",BR,Curitiba,Av. Linha Verde,ACCIDENT,1327.1515151515152,470.77272727272725,7607
"Jan 29, 2022",BR,Curitiba,BR-376 Contorno Sul,null,2715.409090909091,3852,4760
"Jan 29, 2022",BR,Curitiba,R. João Surian,null,667,720.25,36
"Jan 29, 2022",BR,Curitiba,Saída 115 A,null,661,2433.8125,136
"Jan 29, 2022",BR,Curitiba,Av. República Argentina,null,1026,1086,12
"Jan 29, 2022",BR,Curitiba,Saída 115 A,ACCIDENT,661,3178.6923076923076,66
"Jan 29, 2022",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,null,658,448.75,162
"Jan 29, 2022",BR,Curitiba,BR-116 Contorno Leste,null,1605.0869565217392,1701.7934782608695,4188
