Date,Country,City,Street,Type,Subtype,Location
"Jan 31, 2022",BR,Curitiba,R. Mal. Octávio Saldanha Mazza,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Point(-49.297431 -25.506717)
"Jan 31, 2022",BR,Curitiba,R. Guilherme Pugsley,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Point(-49.289325 -25.463441)
"Jan 31, 2022",BR,Curitiba,Av. Visc. de Guarapuava - Pista Esq.,JAM,JAM_STAND_STILL_TRAFFIC,Point(-49.259819 -25.433389)
"Jan 31, 2022",BR,Curitiba,Av. Pres. Kennedy,JAM,JAM_MODERATE_TRAFFIC,Point(-49.270779 -25.45849)
"Jan 31, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,JAM,JAM_HEAVY_TRAFFIC,Point(-49.195711 -25.48129)
"Jan 31, 2022",BR,Curitiba,R. Bom Jesus,JAM,JAM_MODERATE_TRAFFIC,Point(-49.253422 -25.412379)
"Jan 31, 2022",BR,Curitiba,R. Máximo João Kopp,JAM,JAM_HEAVY_TRAFFIC,Point(-49.218305 -25.375368)
"Jan 31, 2022",BR,null,PR-418 Contorno Norte,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Point(-49.32144 -25.365388)
"Jan 31, 2022",BR,Curitiba,Av. Linha Verde,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Point(-49.223704 -25.417334)
"Jan 31, 2022",BR,Curitiba,Vd. Colorado,JAM,JAM_HEAVY_TRAFFIC,Point(-49.259366 -25.437967)
"Jan 31, 2022",BR,Curitiba,R. Francisco Derosso,JAM,JAM_MODERATE_TRAFFIC,Point(-49.270907 -25.496515)
"Jan 31, 2022",BR,Curitiba,Av. Sen. Salgado Filho,JAM,,Point(-49.248875 -25.459963)
"Jan 31, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,JAM,JAM_HEAVY_TRAFFIC,Point(-49.231736 -25.445986)
"Jan 31, 2022",BR,Curitiba,Av. Visc. de Guarapuava - Pista Esq.,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Point(-49.271243 -25.437905)
"Jan 31, 2022",BR,Curitiba,Av. Comendador Franco,JAM,JAM_STAND_STILL_TRAFFIC,Point(-49.243887 -25.452283)
"Jan 31, 2022",BR,Curitiba,R. Luciana Sammut Rosenthal,ACCIDENT,,Point(-49.305701 -25.484829)
"Jan 31, 2022",BR,Curitiba,BR-376 Contorno Sul,WEATHERHAZARD,,Point(-49.366 -25.431889)
"Jan 31, 2022",BR,Curitiba,R. Prof. Nilo Brandão,JAM,JAM_HEAVY_TRAFFIC,Point(-49.266745 -25.388077)
"Jan 31, 2022",BR,Curitiba,R. Roberto Hauer,JAM,,Point(-49.249267 -25.471934)
"Jan 31, 2022",BR,Curitiba,BR-277 Rod. do Café Gov. Ney Braga,JAM,JAM_HEAVY_TRAFFIC,Point(-49.208813 -25.474428)
"Jan 31, 2022",BR,Curitiba,BR-116 S Rod. Régis Bittencourt,JAM,JAM_STAND_STILL_TRAFFIC,Point(-49.199129 -25.388882)
"Jan 31, 2022",BR,Curitiba,R. Nicola Pellanda,JAM,JAM_STAND_STILL_TRAFFIC,Point(-49.294475 -25.543076)
"Jan 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Dir.,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Point(-49.286451 -25.44693)
"Jan 31, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,ACCIDENT,ACCIDENT_MINOR,Point(-49.233651 -25.428044)
"Jan 31, 2022",BR,Curitiba,R. Dr. João Tobias P. Rebelo,JAM,JAM_STAND_STILL_TRAFFIC,Point(-49.295752 -25.476375)
"Jan 31, 2022",BR,Curitiba,R. Canadá,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Point(-49.234745 -25.388776)
"Jan 31, 2022",BR,Curitiba,R. Renato Polatti,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,Point(-49.331496 -25.460815)
"Jan 31, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,JAM,JAM_HEAVY_TRAFFIC,Point(-49.22619 -25.42869)
"Jan 31, 2022",BR,null,BR-116 Contorno Leste,JAM,JAM_MODERATE_TRAFFIC,Point(-49.243712 -25.566015)
