Day,Subtype,# Alerts
"Jan 1, 2022",,42
"Jan 1, 2022",HAZARD_ON_ROAD_CAR_STOPPED,38
"Jan 1, 2022",JAM_MODERATE_TRAFFIC,15
"Jan 1, 2022",HAZARD_ON_ROAD_OBJECT,8
"Jan 1, 2022",JAM_STAND_STILL_TRAFFIC,10
"Jan 1, 2022",JAM_HEAVY_TRAFFIC,18
"Jan 1, 2022",HAZARD_ON_ROAD_CONSTRUCTION,4
"Jan 1, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,72
"Jan 1, 2022",HAZARD_ON_ROAD_POT_HOLE,18
"Jan 1, 2022",ACCIDENT_MINOR,12
"Jan 2, 2022",JAM_STAND_STILL_TRAFFIC,36
"Jan 2, 2022",HAZARD_ON_ROAD_CONSTRUCTION,10
"Jan 2, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,194
"Jan 2, 2022",ACCIDENT_MINOR,14
"Jan 2, 2022",HAZARD_ON_ROAD_CAR_STOPPED,55
"Jan 2, 2022",,106
"Jan 2, 2022",HAZARD_ON_ROAD_OBJECT,11
"Jan 2, 2022",JAM_MODERATE_TRAFFIC,65
"Jan 2, 2022",JAM_HEAVY_TRAFFIC,81
"Jan 2, 2022",HAZARD_ON_ROAD_POT_HOLE,31
"Jan 3, 2022",HAZARD_ON_ROAD_CAR_STOPPED,108
"Jan 3, 2022",HAZARD_ON_ROAD_POT_HOLE,31
"Jan 3, 2022",HAZARD_ON_ROAD_OBJECT,19
"Jan 3, 2022",JAM_MODERATE_TRAFFIC,145
"Jan 3, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,197
"Jan 3, 2022",ACCIDENT_MINOR,33
"Jan 3, 2022",JAM_STAND_STILL_TRAFFIC,206
"Jan 3, 2022",,182
"Jan 3, 2022",HAZARD_ON_ROAD_CONSTRUCTION,63
"Jan 3, 2022",JAM_HEAVY_TRAFFIC,326
"Jan 4, 2022",HAZARD_ON_ROAD_OBJECT,22
"Jan 4, 2022",,182
"Jan 4, 2022",HAZARD_ON_ROAD_CAR_STOPPED,140
"Jan 4, 2022",HAZARD_ON_ROAD_POT_HOLE,37
"Jan 4, 2022",HAZARD_ON_ROAD_CONSTRUCTION,89
"Jan 4, 2022",JAM_HEAVY_TRAFFIC,349
"Jan 4, 2022",JAM_MODERATE_TRAFFIC,142
"Jan 4, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,160
"Jan 4, 2022",ACCIDENT_MINOR,43
"Jan 4, 2022",JAM_STAND_STILL_TRAFFIC,248
"Jan 5, 2022",JAM_STAND_STILL_TRAFFIC,113
"Jan 5, 2022",JAM_HEAVY_TRAFFIC,269
"Jan 5, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,136
"Jan 5, 2022",ACCIDENT_MINOR,44
"Jan 5, 2022",JAM_MODERATE_TRAFFIC,123
"Jan 5, 2022",HAZARD_ON_ROAD_OBJECT,17
"Jan 5, 2022",,148
"Jan 5, 2022",HAZARD_ON_ROAD_CAR_STOPPED,143
"Jan 5, 2022",HAZARD_ON_ROAD_POT_HOLE,32
"Jan 5, 2022",HAZARD_ON_ROAD_CONSTRUCTION,118
"Jan 6, 2022",HAZARD_ON_ROAD_OBJECT,28
"Jan 6, 2022",JAM_MODERATE_TRAFFIC,134
"Jan 6, 2022",JAM_HEAVY_TRAFFIC,254
"Jan 6, 2022",HAZARD_ON_ROAD_POT_HOLE,53
"Jan 6, 2022",ACCIDENT_MINOR,34
"Jan 6, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,115
"Jan 6, 2022",,140
"Jan 6, 2022",JAM_STAND_STILL_TRAFFIC,114
"Jan 6, 2022",HAZARD_ON_ROAD_CONSTRUCTION,120
"Jan 6, 2022",HAZARD_ON_ROAD_CAR_STOPPED,144
"Jan 7, 2022",JAM_STAND_STILL_TRAFFIC,142
"Jan 7, 2022",HAZARD_ON_ROAD_OBJECT,35
