Date,Country,City,Street,Location,Avg Reliability
"May 31, 2022",BR,Curitiba,Av. do Batel,Point(-49.289772 -25.44338),5
"May 31, 2022",BR,Curitiba,R. José Veríssimo,Point(-49.213817 -25.427673),5
"May 31, 2022",BR,Curitiba,Al. Princesa Izabel,Point(-49.294048 -25.434327),6
"May 31, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.237556 -25.460621),6
"May 31, 2022",BR,Curitiba,PR-418 Contorno Norte,Point(-49.366051 -25.421966),5
"May 31, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.237458 -25.460754),5
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.273803 -25.55504),5
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.273095 -25.555243),10
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.272464 -25.555607),10
"May 31, 2022",BR,Curitiba,Av. da Integração,Point(-49.20881 -25.407295),5
"May 31, 2022",BR,Curitiba,null,Point(-49.226723 -25.424819),8
"May 31, 2022",BR,Curitiba,Av. Juscelino Kubitschek de Oliveira,Point(-49.347445 -25.483668),5
"May 31, 2022",BR,Curitiba,R. Eduardo Sprada,Point(-49.366075 -25.452415),6
"May 31, 2022",BR,São José dos Pinhais,Av. Rui Barbosa,Point(-49.162884 -25.496333),7
"May 31, 2022",BR,São José dos Pinhais,Av. das Américas,Point(-49.21706 -25.529516),8
"May 31, 2022",BR,Curitiba,Av. Água Verde,Point(-49.285595 -25.453795),8
"May 31, 2022",BR,São José dos Pinhais,Av. das Américas,Point(-49.210604 -25.530327),10
"May 31, 2022",BR,Curitiba,R. São João,Point(-49.221283 -25.377513),6
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.223542 -25.416984),10
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.270971 -25.556682),9
"May 31, 2022",BR,Curitiba,BR-116 N Rod. Régis Bittencourt,Point(-49.304605 -25.550307),6
"May 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Esq.,Point(-49.266289 -25.439167),5
"May 31, 2022",BR,Curitiba,R. Dr. Faivre,Point(-49.26152 -25.428708),5
"May 31, 2022",BR,Colombo,R. da Pedreira,Point(-49.200484 -25.375803),5
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.273726 -25.554879),5
"May 31, 2022",BR,null,PR-092 Rod. dos Minérios,Point(-49.281029 -25.35592),7
"May 31, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.228889 -25.472802),5
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.273401 -25.555067),10
"May 31, 2022",BR,Curitiba,R. Cel. Dulcídio,Point(-49.282033 -25.440901),6
"May 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Esq.,Point(-49.272595 -25.441535),5
"May 31, 2022",BR,null,PR-092 Rod. dos Minérios,Point(-49.280798 -25.354645),5
"May 31, 2022",BR,Curitiba,R. dos Pioneiros,Point(-49.259129 -25.53214),5
"May 31, 2022",BR,Curitiba,R. Ipiranga,Point(-49.286428 -25.506278),8
"May 31, 2022",BR,Curitiba,Al. Nossa Senhora do Sagrado Coração,Point(-49.299509 -25.533341),9
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.273257 -25.55515),10
"May 31, 2022",BR,Curitiba,R. José Veríssimo,Point(-49.214055 -25.42775),8
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.274842 -25.554237),9
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.273054 -25.555475),10
"May 31, 2022",BR,Curitiba,Av. Cândido Hartmann,Point(-49.311555 -25.422643),5
"May 31, 2022",BR,Curitiba,R. Rocha Pombo,Point(-49.25985 -25.413356),10
"May 31, 2022",BR,Curitiba,Av. da Integração,Point(-49.209325 -25.407495),5
"May 31, 2022",BR,Curitiba,R. dos Funcionários,Point(-49.252681 -25.405481),5
"May 31, 2022",BR,Curitiba,Av. Silva Jardim,Point(-49.292529 -25.4491),10
"May 31, 2022",BR,Curitiba,R. Alferes Ângelo Sampaio,Point(-49.282926 -25.442654),7
"May 31, 2022",BR,Curitiba,Al. Nossa Senhora do Sagrado Coração,Point(-49.30058 -25.53305),10
"May 31, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.220106 -25.410267),10
"May 31, 2022",BR,Curitiba,R. Prodócimo Lago,Point(-49.280091 -25.372379),7
"May 31, 2022",BR,Campina Grande do Sul,BR-116 S Rod. Régis Bittencourt,Point(-49.121118 -25.370188),10
"May 31, 2022",BR,Curitiba,R. Marcelino Nogueira,Point(-49.238236 -25.396824),10
"May 31, 2022",BR,Curitiba,R. Pedro Américo,Point(-49.291167 -25.495014),6
"May 31, 2022",BR,Curitiba,Av. Silva Jardim - Pista Dir.,Point(-49.264251 -25.438557),6
"May 31, 2022",BR,Curitiba,Av. Silva Jardim,Point(-49.261408 -25.437446),10
"May 31, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.24467 -25.45122),5
"May 31, 2022",BR,Curitiba,R. Me. Maria Lúcia,Point(-49.245338 -25.465411),5
"May 31, 2022",BR,São José dos Pinhais,R. Barão do Cerro Azul,Point(-49.196642 -25.538788),9
"May 31, 2022",BR,Curitiba,R. Gen. Mário Tourinho,Point(-49.306972 -25.439704),5
"May 31, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.210665 -25.430539),10
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.259807 -25.562132),10
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.27326 -25.555148),8
"May 31, 2022",BR,Curitiba,R. Augusto Stresser,Point(-49.242453 -25.417856),8
"May 31, 2022",BR,Curitiba,null,Point(-49.228335 -25.428628),5
"May 31, 2022",BR,Colombo,R. Pedro do Rosário,Point(-49.160523 -25.372787),6
"May 31, 2022",BR,Campina Grande do Sul,BR-116 S Rod. Régis Bittencourt,Point(-49.123755 -25.370514),10
"May 31, 2022",BR,Curitiba,R. Ipiranga,Point(-49.285813 -25.506689),10
"May 31, 2022",BR,Pinhais,PR-415 Rod. João Leopoldo Jacomel,Point(-49.175711 -25.434276),8
"May 31, 2022",BR,Curitiba,R. Dr. Faivre,Point(-49.261244 -25.429237),10
"May 31, 2022",BR,null,BR-277 N Rod. do Café Gov. Ney Braga,Point(-49.383605 -25.4269),10
"May 31, 2022",BR,Curitiba,Av. Pres. Kennedy,Point(-49.262825 -25.451302),6
"May 31, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.271755 -25.556015),6
"May 31, 2022",BR,São José dos Pinhais,Av. das Américas,Point(-49.210527 -25.530315),5
