Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
"Jan 31, 2023",BR,Curitiba,null,null,552,313.77777777777777,440
"Jan 31, 2023",BR,Curitiba,BR-116 N Contorno Leste,ACCIDENT,3843.3050847457625,3174.9322033898306,6278
"Jan 31, 2023",BR,Araucária,Av. das Araucárias,null,3092.4814814814813,629.9629629629629,4338
"Jan 31, 2023",BR,Curitiba,R. Visc. do Rio Branco,null,735,870,4
"Jan 31, 2023",BR,Curitiba,R. Anne Frank,null,789.1764705882352,336.2352941176471,1068
"Jan 31, 2023",BR,Curitiba,Est. do Ganchinho,null,884.4,463.25,660
"Jan 31, 2023",BR,Curitiba,R. Prof. Assis Gonçalves,null,679,691,10
"Jan 31, 2023",BR,Curitiba,R. Imaculada Conceição,null,737.12,784.92,3262
"Jan 31, 2023",BR,Curitiba,BR-476 Rod. do Xisto,HAZARD,758,268.375,509
"Jan 31, 2023",BR,Curitiba,Av. Linha Verde,ACCIDENT,1730.6716417910447,1219.5223880597016,19597
"Jan 31, 2023",BR,Curitiba,BR-116 S Contorno Leste,null,6623.891304347826,587.1358695652174,38749
"Jan 31, 2023",BR,Curitiba,R. Batista da Costa,null,694.5,466,36
"Jan 31, 2023",BR,Curitiba,BR-476 Rod. do Xisto,null,758,350.48765432098764,2522
"Jan 31, 2023",BR,Curitiba,Av. Des. Hugo Simas,null,705,386.8,970
"Jan 31, 2023",BR,Pinhais,R. Graça Aranha,null,628,1438.5,34
"Jan 31, 2023",BR,Curitiba,Av. Sete de Setembro,null,682,657,54
"Jan 31, 2023",BR,Curitiba,BR-476 Est. da Ribeira,null,595.625,528.75,456
"Jan 31, 2023",BR,Araucaria,BR-476 Rod. do Xisto,null,3896.0384615384614,1260.4615384615386,4924
"Jan 31, 2023",BR,São José dos Pinhais,null,null,659.5294117647059,862.4117647058823,243
"Jan 31, 2023",BR,Curitiba,Av. João Gualberto,null,600,464.5,16
"Jan 31, 2023",BR,Curitiba,Marg. Av. Linha Verde,ACCIDENT,547,462.5,350
"Jan 31, 2023",BR,Curitiba,Al. Dr. Carlos de Carvalho,null,655,1015,30
