Day,Average Delay (Seconds),# Irregularities
"Jan 31, 2023",778.1097740667976,120
"Jan 30, 2023",853.1324123989218,97
"Jan 29, 2023",507.0245901639344,28
"Jan 28, 2023",650.4591836734694,53
"Jan 27, 2023",937.4023722627737,73
"Jan 26, 2023",848.0558576371725,141
"Jan 25, 2023",1188.9833893243747,191
"Jan 24, 2023",1142.8188809334395,93
"Jan 23, 2023",882.2064384261625,70
"Jan 22, 2023",591.8586497890295,45
"Jan 21, 2023",1337.552923976608,91
"Jan 20, 2023",752.5890077821011,97
"Jan 19, 2023",957.0063749637786,106
"Jan 18, 2023",773.8124834699814,118
"Jan 17, 2023",880.9191000478698,195
"Jan 16, 2023",742.1897289586306,214
"Jan 15, 2023",721.3796653796654,41
"Jan 14, 2023",885.4650112866817,45
"Jan 13, 2023",621.382328990228,67
"Jan 12, 2023",677.316827852998,84
"Jan 11, 2023",658.2078763708873,66
"Jan 10, 2023",780.4831400053952,102
"Jan 9, 2023",741.188123752495,64
"Jan 8, 2023",831.5038560411311,30
"Jan 7, 2023",941.5344827586207,31
"Jan 6, 2023",858.9641802067947,82
"Jan 5, 2023",1148.0630026809652,107
"Jan 4, 2023",753.5855062648154,50
"Jan 3, 2023",702.7239988475943,58
"Jan 2, 2023",757.474622770919,31
"Jan 1, 2023",1021.8888888888889,15
