Day,Cause,# Irregularities
"Jan 1, 2023",HAZARD,1
"Jan 2, 2023",ACCIDENT,3
"Jan 3, 2023",ACCIDENT,2
"Jan 3, 2023",HAZARD,6
"Jan 4, 2023",HAZARD,1
"Jan 4, 2023",ACCIDENT,5
"Jan 5, 2023",ACCIDENT,7
"Jan 5, 2023",HAZARD,10
"Jan 6, 2023",ACCIDENT,5
"Jan 6, 2023",HAZARD,25
"Jan 7, 2023",HAZARD,1
"Jan 7, 2023",ACCIDENT,3
"Jan 9, 2023",HAZARD,8
"Jan 9, 2023",ACCIDENT,7
"Jan 10, 2023",HAZARD,7
"Jan 10, 2023",ACCIDENT,10
"Jan 11, 2023",ACCIDENT,4
"Jan 11, 2023",HAZARD,6
"Jan 12, 2023",ACCIDENT,7
"Jan 12, 2023",HAZARD,4
"Jan 13, 2023",ACCIDENT,6
"Jan 13, 2023",HAZARD,3
"Jan 14, 2023",ACCIDENT,1
"Jan 14, 2023",HAZARD,2
"Jan 15, 2023",HAZARD,1
"Jan 16, 2023",HAZARD,34
"Jan 16, 2023",ACCIDENT,18
"Jan 17, 2023",HAZARD,28
"Jan 17, 2023",ACCIDENT,14
"Jan 18, 2023",ACCIDENT,1
"Jan 18, 2023",HAZARD,31
"Jan 19, 2023",HAZARD,4
"Jan 19, 2023",ACCIDENT,4
"Jan 20, 2023",HAZARD,4
"Jan 20, 2023",ACCIDENT,6
"Jan 21, 2023",HAZARD,2
"Jan 21, 2023",ACCIDENT,2
"Jan 23, 2023",HAZARD,3
"Jan 23, 2023",ACCIDENT,5
"Jan 24, 2023",ACCIDENT,7
"Jan 24, 2023",HAZARD,7
"Jan 25, 2023",HAZARD,31
"Jan 25, 2023",ACCIDENT,7
"Jan 26, 2023",ACCIDENT,9
"Jan 26, 2023",HAZARD,16
"Jan 27, 2023",HAZARD,15
"Jan 27, 2023",ACCIDENT,2
"Jan 28, 2023",ACCIDENT,3
"Jan 28, 2023",HAZARD,1
"Jan 30, 2023",HAZARD,1
"Jan 30, 2023",ACCIDENT,8
"Jan 31, 2023",ACCIDENT,10
"Jan 31, 2023",HAZARD,10
