Day,Accident Type,# Accidents
"Feb 1, 2023",ACCIDENT_MINOR,94
"Feb 1, 2023",ACCIDENT_MAJOR,37
"Feb 2, 2023",ACCIDENT_MINOR,84
"Feb 2, 2023",ACCIDENT_MAJOR,27
"Feb 3, 2023",ACCIDENT_MAJOR,32
"Feb 3, 2023",ACCIDENT_MINOR,87
"Feb 4, 2023",ACCIDENT_MAJOR,30
"Feb 4, 2023",ACCIDENT_MINOR,39
"Feb 5, 2023",ACCIDENT_MINOR,26
"Feb 5, 2023",ACCIDENT_MAJOR,20
"Feb 6, 2023",ACCIDENT_MAJOR,20
"Feb 6, 2023",ACCIDENT_MINOR,66
"Feb 7, 2023",ACCIDENT_MAJOR,31
"Feb 7, 2023",ACCIDENT_MINOR,65
"Feb 8, 2023",ACCIDENT_MINOR,103
"Feb 8, 2023",ACCIDENT_MAJOR,17
"Feb 9, 2023",ACCIDENT_MINOR,80
"Feb 9, 2023",ACCIDENT_MAJOR,23
"Feb 10, 2023",ACCIDENT_MINOR,129
"Feb 10, 2023",ACCIDENT_MAJOR,28
"Feb 11, 2023",ACCIDENT_MAJOR,33
"Feb 11, 2023",ACCIDENT_MINOR,72
"Feb 12, 2023",ACCIDENT_MAJOR,23
"Feb 12, 2023",ACCIDENT_MINOR,35
"Feb 13, 2023",ACCIDENT_MAJOR,23
"Feb 13, 2023",ACCIDENT_MINOR,87
"Feb 14, 2023",ACCIDENT_MAJOR,25
"Feb 14, 2023",ACCIDENT_MINOR,78
"Feb 15, 2023",ACCIDENT_MAJOR,33
"Feb 15, 2023",ACCIDENT_MINOR,82
"Feb 16, 2023",ACCIDENT_MAJOR,24
"Feb 16, 2023",ACCIDENT_MINOR,89
"Feb 17, 2023",ACCIDENT_MAJOR,41
"Feb 17, 2023",ACCIDENT_MINOR,145
"Feb 18, 2023",ACCIDENT_MINOR,71
"Feb 18, 2023",ACCIDENT_MAJOR,33
"Feb 19, 2023",ACCIDENT_MINOR,29
"Feb 19, 2023",ACCIDENT_MAJOR,19
"Feb 20, 2023",ACCIDENT_MINOR,28
"Feb 20, 2023",ACCIDENT_MAJOR,17
"Feb 21, 2023",ACCIDENT_MAJOR,16
"Feb 21, 2023",ACCIDENT_MINOR,45
"Feb 22, 2023",ACCIDENT_MAJOR,15
"Feb 22, 2023",ACCIDENT_MINOR,53
"Feb 23, 2023",ACCIDENT_MINOR,128
"Feb 23, 2023",ACCIDENT_MAJOR,25
"Feb 24, 2023",ACCIDENT_MAJOR,20
"Feb 24, 2023",ACCIDENT_MINOR,97
"Feb 25, 2023",ACCIDENT_MINOR,32
"Feb 25, 2023",ACCIDENT_MAJOR,29
"Feb 26, 2023",ACCIDENT_MAJOR,29
"Feb 26, 2023",ACCIDENT_MINOR,40
"Feb 27, 2023",ACCIDENT_MINOR,90
"Feb 27, 2023",ACCIDENT_MAJOR,36
"Feb 28, 2023",ACCIDENT_MAJOR,21
"Feb 28, 2023",ACCIDENT_MINOR,69
