Day,Type,# Alerts
"Mar 1, 2023",JAM,3586
"Mar 1, 2023",ACCIDENT,181
"Mar 1, 2023",ROAD_CLOSED,16
"Mar 1, 2023",WEATHERHAZARD,1092
"Mar 2, 2023",JAM,3358
"Mar 2, 2023",ACCIDENT,136
"Mar 2, 2023",ROAD_CLOSED,45
"Mar 2, 2023",WEATHERHAZARD,1096
"Mar 3, 2023",WEATHERHAZARD,1275
"Mar 3, 2023",JAM,3529
"Mar 3, 2023",ACCIDENT,163
"Mar 3, 2023",ROAD_CLOSED,11
"Mar 4, 2023",ACCIDENT,164
"Mar 4, 2023",ROAD_CLOSED,14
"Mar 4, 2023",WEATHERHAZARD,712
"Mar 4, 2023",JAM,885
"Mar 5, 2023",JAM,383
"Mar 5, 2023",ROAD_CLOSED,15
"Mar 5, 2023",ACCIDENT,92
"Mar 5, 2023",WEATHERHAZARD,435
"Mar 6, 2023",ACCIDENT,169
"Mar 6, 2023",JAM,3253
"Mar 6, 2023",ROAD_CLOSED,6
"Mar 6, 2023",WEATHERHAZARD,1165
"Mar 7, 2023",ROAD_CLOSED,19
"Mar 7, 2023",ACCIDENT,116
"Mar 7, 2023",JAM,3356
"Mar 7, 2023",WEATHERHAZARD,1142
"Mar 8, 2023",WEATHERHAZARD,1197
"Mar 8, 2023",ACCIDENT,170
"Mar 8, 2023",ROAD_CLOSED,14
"Mar 8, 2023",JAM,3950
"Mar 9, 2023",JAM,3985
"Mar 9, 2023",WEATHERHAZARD,1341
"Mar 9, 2023",ACCIDENT,240
"Mar 10, 2023",ROAD_CLOSED,10
"Mar 10, 2023",WEATHERHAZARD,1518
"Mar 10, 2023",JAM,4509
"Mar 10, 2023",ACCIDENT,274
"Mar 11, 2023",JAM,913
"Mar 11, 2023",WEATHERHAZARD,660
"Mar 11, 2023",ROAD_CLOSED,30
"Mar 11, 2023",ACCIDENT,122
"Mar 12, 2023",JAM,354
"Mar 12, 2023",ROAD_CLOSED,8
"Mar 12, 2023",ACCIDENT,110
"Mar 12, 2023",WEATHERHAZARD,419
"Mar 13, 2023",JAM,2886
"Mar 13, 2023",ACCIDENT,140
"Mar 13, 2023",WEATHERHAZARD,1204
"Mar 13, 2023",ROAD_CLOSED,2
"Mar 14, 2023",JAM,3834
"Mar 14, 2023",ACCIDENT,169
"Mar 14, 2023",ROAD_CLOSED,27
"Mar 14, 2023",WEATHERHAZARD,1174
"Mar 15, 2023",WEATHERHAZARD,1178
"Mar 15, 2023",JAM,3612
"Mar 15, 2023",ROAD_CLOSED,8
"Mar 15, 2023",ACCIDENT,143
"Mar 16, 2023",ROAD_CLOSED,4
"Mar 16, 2023",JAM,3261
"Mar 16, 2023",WEATHERHAZARD,1261
"Mar 16, 2023",ACCIDENT,158
"Mar 17, 2023",ACCIDENT,259
"Mar 17, 2023",JAM,3618
"Mar 17, 2023",ROAD_CLOSED,12
"Mar 17, 2023",WEATHERHAZARD,1187
"Mar 18, 2023",WEATHERHAZARD,831
"Mar 18, 2023",ROAD_CLOSED,2
"Mar 18, 2023",ACCIDENT,144
"Mar 18, 2023",JAM,753
"Mar 19, 2023",JAM,623
"Mar 19, 2023",ACCIDENT,101
"Mar 19, 2023",WEATHERHAZARD,447
"Mar 19, 2023",ROAD_CLOSED,8
"Mar 20, 2023",ACCIDENT,184
"Mar 20, 2023",ROAD_CLOSED,4
"Mar 20, 2023",JAM,2913
"Mar 20, 2023",WEATHERHAZARD,1320
"Mar 21, 2023",JAM,4144
"Mar 21, 2023",WEATHERHAZARD,1253
"Mar 21, 2023",ROAD_CLOSED,5
"Mar 21, 2023",ACCIDENT,170
"Mar 22, 2023",ACCIDENT,163
"Mar 22, 2023",JAM,3945
"Mar 22, 2023",ROAD_CLOSED,5
"Mar 22, 2023",WEATHERHAZARD,1267
"Mar 23, 2023",ACCIDENT,208
"Mar 23, 2023",JAM,3807
"Mar 23, 2023",WEATHERHAZARD,1208
"Mar 24, 2023",JAM,3900
"Mar 24, 2023",WEATHERHAZARD,1326
"Mar 24, 2023",ACCIDENT,207
"Mar 25, 2023",WEATHERHAZARD,573
"Mar 25, 2023",ACCIDENT,121
"Mar 25, 2023",JAM,646
"Mar 26, 2023",JAM,440
"Mar 26, 2023",ACCIDENT,135
"Mar 26, 2023",WEATHERHAZARD,437
"Mar 26, 2023",ROAD_CLOSED,4
"Mar 27, 2023",JAM,2786
"Mar 27, 2023",WEATHERHAZARD,1118
"Mar 27, 2023",ACCIDENT,128
"Mar 28, 2023",ACCIDENT,153
"Mar 28, 2023",JAM,3019
"Mar 28, 2023",ROAD_CLOSED,2
"Mar 28, 2023",WEATHERHAZARD,939
"Mar 29, 2023",ACCIDENT,208
"Mar 29, 2023",WEATHERHAZARD,1166
"Mar 29, 2023",JAM,3862
"Mar 30, 2023",ACCIDENT,178
"Mar 30, 2023",WEATHERHAZARD,1132
"Mar 30, 2023",ROAD_CLOSED,3
"Mar 30, 2023",JAM,3463
"Mar 31, 2023",ACCIDENT,210
"Mar 31, 2023",JAM,3933
"Mar 31, 2023",WEATHERHAZARD,1223
"Mar 31, 2023",ROAD_CLOSED,6
