Day,Road Type,# Accidents
"Jul 1, 2023",null,1
"Jul 1, 2023",2,41
"Jul 1, 2023",4,1
"Jul 1, 2023",1,8
"Jul 1, 2023",6,15
"Jul 1, 2023",7,7
"Jul 1, 2023",20,1
"Jul 2, 2023",7,5
"Jul 2, 2023",6,13
"Jul 2, 2023",1,4
"Jul 2, 2023",20,1
"Jul 2, 2023",4,1
"Jul 2, 2023",2,23
"Jul 3, 2023",5,1
"Jul 3, 2023",1,11
"Jul 3, 2023",4,4
"Jul 3, 2023",6,26
"Jul 3, 2023",2,46
"Jul 3, 2023",7,8
"Jul 4, 2023",2,47
"Jul 4, 2023",7,2
"Jul 4, 2023",6,22
"Jul 4, 2023",null,1
"Jul 4, 2023",20,1
"Jul 4, 2023",1,8
"Jul 4, 2023",4,1
"Jul 5, 2023",7,5
"Jul 5, 2023",6,25
"Jul 5, 2023",1,12
"Jul 5, 2023",2,69
"Jul 5, 2023",17,1
"Jul 6, 2023",7,9
"Jul 6, 2023",2,71
"Jul 6, 2023",6,21
"Jul 6, 2023",4,2
"Jul 6, 2023",1,12
"Jul 7, 2023",20,1
"Jul 7, 2023",2,99
"Jul 7, 2023",1,17
"Jul 7, 2023",7,15
"Jul 7, 2023",6,38
"Jul 8, 2023",7,4
"Jul 8, 2023",2,46
"Jul 8, 2023",1,7
"Jul 8, 2023",null,1
"Jul 8, 2023",6,36
"Jul 8, 2023",20,2
"Jul 9, 2023",6,16
"Jul 9, 2023",7,1
"Jul 9, 2023",1,3
"Jul 9, 2023",17,3
"Jul 9, 2023",2,41
"Jul 10, 2023",2,72
"Jul 10, 2023",1,9
"Jul 10, 2023",6,33
"Jul 10, 2023",7,10
"Jul 10, 2023",4,1
"Jul 11, 2023",7,11
"Jul 11, 2023",20,1
"Jul 11, 2023",17,1
"Jul 11, 2023",6,19
"Jul 11, 2023",2,48
"Jul 11, 2023",1,11
"Jul 12, 2023",20,2
"Jul 12, 2023",4,3
"Jul 12, 2023",7,1
"Jul 12, 2023",1,13
"Jul 12, 2023",2,58
"Jul 12, 2023",null,1
"Jul 12, 2023",6,36
"Jul 13, 2023",1,5
"Jul 13, 2023",6,28
"Jul 13, 2023",7,5
"Jul 13, 2023",20,1
"Jul 13, 2023",2,44
"Jul 14, 2023",2,52
"Jul 14, 2023",6,20
"Jul 14, 2023",7,1
"Jul 14, 2023",1,12
"Jul 15, 2023",2,38
"Jul 15, 2023",6,16
"Jul 15, 2023",7,1
"Jul 15, 2023",1,7
"Jul 16, 2023",7,2
"Jul 16, 2023",4,1
"Jul 16, 2023",2,23
"Jul 16, 2023",6,24
"Jul 16, 2023",20,1
"Jul 16, 2023",1,4
"Jul 17, 2023",4,1
"Jul 17, 2023",1,6
"Jul 17, 2023",7,10
"Jul 17, 2023",6,37
"Jul 17, 2023",2,44
"Jul 18, 2023",7,1
"Jul 18, 2023",6,37
"Jul 18, 2023",4,1
"Jul 18, 2023",17,2
"Jul 18, 2023",2,41
"Jul 18, 2023",1,4
"Jul 19, 2023",2,35
"Jul 19, 2023",6,17
"Jul 19, 2023",1,3
"Jul 20, 2023",1,9
"Jul 20, 2023",17,1
"Jul 20, 2023",4,1
"Jul 20, 2023",2,38
"Jul 20, 2023",7,7
"Jul 20, 2023",6,26
"Jul 21, 2023",7,10
"Jul 21, 2023",2,51
"Jul 21, 2023",1,5
"Jul 21, 2023",6,32
"Jul 21, 2023",null,1
"Jul 21, 2023",17,1
"Jul 22, 2023",6,20
"Jul 22, 2023",1,5
"Jul 22, 2023",5,1
"Jul 22, 2023",7,2
"Jul 22, 2023",2,43
"Jul 22, 2023",17,1
"Jul 23, 2023",7,3
"Jul 23, 2023",17,2
"Jul 23, 2023",1,7
"Jul 23, 2023",6,13
"Jul 23, 2023",2,28
"Jul 23, 2023",20,1
"Jul 24, 2023",6,15
"Jul 24, 2023",7,1
"Jul 24, 2023",null,2
"Jul 24, 2023",20,1
"Jul 24, 2023",22,1
"Jul 24, 2023",2,49
"Jul 24, 2023",1,6
"Jul 26, 2023",7,5
"Jul 26, 2023",6,31
"Jul 26, 2023",2,45
"Jul 26, 2023",1,8
"Jul 27, 2023",6,23
"Jul 27, 2023",2,48
"Jul 27, 2023",17,1
"Jul 27, 2023",7,2
"Jul 27, 2023",1,9
"Jul 27, 2023",4,1
"Jul 28, 2023",7,12
"Jul 28, 2023",null,1
"Jul 28, 2023",6,34
"Jul 28, 2023",1,6
"Jul 28, 2023",2,53
"Jul 29, 2023",1,6
"Jul 29, 2023",2,38
"Jul 29, 2023",6,6
"Jul 29, 2023",7,3
"Jul 30, 2023",7,1
"Jul 30, 2023",20,1
"Jul 30, 2023",2,27
"Jul 30, 2023",6,16
"Jul 30, 2023",1,2
"Jul 31, 2023",6,20
"Jul 31, 2023",1,8
"Jul 31, 2023",20,2
"Jul 31, 2023",2,57
"Jul 31, 2023",7,4
